pais,codigo_pais,cidade,ano,data_inicio,data_fim,publico_previsto,capacidade_max,virtual,titulo,url,slug
Brasil,BR,Rio De Janeiro Rj Brazil,2024,2024-08-16,2024-08-17,150,190,não,WordCamp Rio 2024,https://riodejaneiro.wordcamp.org/2024/,wordcamp-rio-de-janeiro-rj-brazil-2
Brasil,BR,Brasil,2025,2025-11-28,2025-11-29,250,250,não,WordCamp Brasil 2025,https://brasil.wordcamp.org/2025/,wordcamp-brasil-2025
Chile,CL,Santiago,2010,2010-05-08,,,,não,WordCamp Chile,http://chile.wordcamp.org/,chile-2010
Colômbia,CO,Bogotá,2010,2010-10-23,,,,não,WordCamp Bogotá,http://www.wordcampbogota.com/,bogota-2010
Colômbia,CO,Medellín,2016,2016-11-05,,100,200,não,WordCamp Medellín,https://medellin.wordcamp.org/2016/,wordcamp-medellin
Colômbia,CO,Bogota Colombia,2017,2017-09-09,,172,172,não,WordCamp Bogotá,https://bogota.wordcamp.org/2017/,wordcamp-bogota-colombia
Colômbia,CO,Bogotá,2018,2018-11-09,2018-11-10,172,172,não,WordCamp Bogotá,https://bogota.wordcamp.org/2018/,wordcamp-bogota-2018
Colômbia,CO,Bogota,2024,2024-08-30,2024-08-31,180,180,não,WordCamp Bogotá,https://bogota.wordcamp.org/2024/,wordcamp-bogota
Colômbia,CO,Santa Marta,2025,2025-03-08,2025-03-08,150,800,não,"Women WordPress Day 2025, San José, Costa Rica",https://events.wordpress.org/sanjose/2025/women-wordpress-day/,women-wordpress-day-2025-san-jose-costa-rica
Costa Rica,CR,San Jose Costa Rica,2016,2016-11-05,2016-11-06,220,220,não,WordCamp San José,https://sanjose.wordcamp.org/2016/,wordcamp-san-jose-costa-rica
Costa Rica,CR,San Pedro,2017,2017-09-02,2017-09-03,350,450,não,WordCamp San José,https://sanjose.wordcamp.org/2017/,wordcamp-san-jose-2017
Costa Rica,CR,San Pedro,2018,2018-07-21,2018-07-22,450,600,não,WordCamp San José,https://sanjose.wordcamp.org/2018/,wordcamp-san-jose-costa-rica-2
Costa Rica,CR,San Pedro,2019,2019-09-07,2019-09-08,,700,não,WordCamp San José/ Costa Rica,https://sanjose.wordcamp.org/2019/,wordcamp-san-jose-costa-rica-3
Costa Rica,CR,Curridabat,2022,2022-11-05,2022-11-06,,,não,WordCamp San José / Costa Rica,https://sanjose.wordcamp.org/2022/,wordcamp-san-jose-costa-rica-5
Costa Rica,CR,Curridabat,2023,2023-11-04,2023-11-05,450,800,não,"WordCamp San José, Costa Rica",https://sanjose.wordcamp.org/2023/,wordcamp-san-jose-costa-rica-6
Costa Rica,CR,Curridabat,2024,2024-03-08,2024-03-08,120,800,não,Women WordPress Day,https://events.wordpress.org/sanjose/2024/women-wordpress-day/,women-wordpress-day
Costa Rica,CR,Curridabat,2024,2024-10-11,2024-10-12,450,600,não,WordCamp San José,https://sanjose.wordcamp.org/2024/,wordcamp-san-jose-costa-rica-7
Costa Rica,CR,Cartago,2025,2025-07-04,2025-09-13,180,,não,WordPress Campus Connect Cartago,https://events.wordpress.org/campusconnect/2025/cartago-covao/,wordpress-campus-connect-cartago
Costa Rica,CR,Curridabat,2025,2025-09-23,2025-09-25,100,800,não,WordPress Campus Connect San José,https://events.wordpress.org/campusconnect/2026/sanjose-fidelitas/,wordpress-campus-connect-san-jose
Costa Rica,CR,San Jose,2025,2025-02-22,2025-02-22,150,600,não,WordPress Developer Day San José,https://events.wordpress.org/sanjose/2025/wordpress-devday/,san-jose
Costa Rica,CR,San Pedro,2025,2025-10-31,2025-11-01,500,,não,WordCamp San Jose 2025,https://sanjose.wordcamp.org/2025/,wordcamp-san-jose-2025
Costa Rica,CR,Cartago,2026,2026-09-12,2026-09-12,100,250,não,"WordPress Campus Connect BeeNova HHC Innovation Center, Cartago",https://events.wordpress.org/campusconnect/2026/beenova-hhc/,wordpress-campus-connect-beenova-hhc-innovation-center
Costa Rica,CR,Cartago,2026,2026-03-28,2026-03-28,80,400,não,WordPress Women Day Cartago 2026,https://events.wordpress.org/cartago/2026/WomensDay/,women-wp-day-cartago-2026
Costa Rica,CR,Curridabat,2026,2026-02-21,2026-02-21,150,300,não,WordPress Developer Day 2026 San José,https://events.wordpress.org/sanjose/2026/wordpress-devday/,wordpress-developer-day-san-jose-2026
Costa Rica,CR,Puntarenas,2026,2026-08-29,2026-08-29,60,,não,WordPress Campus Connect UCR Sede del Pacífico Esparza,https://events.wordpress.org/campusconnect/2026/UCR-Esparza/,wordpress-campus-connect-ucr-sede-del-pacifico-esparza
Costa Rica,CR,San José,2026,2026-09-18,2026-09-19,350,,não,WordCamp Costa Rica 2026,https://costarica.wordcamp.org/2026/,wordcamp-costa-rica-2026
Costa Rica,CR,San Pedro,2026,2026-03-07,2026-03-07,75,400,não,Women WordPress Day San José 2026,https://events.wordpress.org/sanjose/2026/women-wordpress-day/,women-wp-day-san-jose-2026
Equador,EC,Guayaquil,2019,2019-12-07,,160,300,não,WordCamp Guayaquil,https://guayaquil.wordcamp.org/2019/,wordcamp-guayaquil-2019
